date,code,wet_weight,dry_weight
2019_10_18,NNHA,50.287,45.367
2019_10_19,NNHB,49.091,44.429
2019_10_20,NNHC,49.288,46.552
2019_10_21,NNLA,51.16,45.743
2019_10_22,NNLB,19.769,45.739
2019_10_23,NNLC,49.93,45.792
2019_10_24,NEHA,49.216,46.105
2019_10_25,NEHB,51.532,46.295
2019_10_26,NEHC,58.056,55.403
2019_10_27,NELA,55.992,52.403
2019_10_28,NELB,56.193,50.11
2019_10_29,NELC,56.709,52.439
2019_10_30,CNHA,NA,
2019_10_31,CNHB,49.831,42.623
2019_10_32,CNHC,48.987,46.863
2019_10_33,CNLA,49.281,34.815
2019_10_34,CNLB,49.134,33.592
2019_10_35,CNLC,NA,
2019_10_36,CSHA,49.578,39.055
2019_10_37,CSHB,48.534,35.147
2019_10_38,CSHC,48.396,35.784
2019_10_39,CSLA,52.782,31.86
2019_10_40,CSLB,52.322,36.909
2019_10_41,CSLC,48.388,30.9
2019_10_42,WPXA,NA,NA
2019_10_43,WPXB,NA,NA
2019_10_44,WPXC,NA,NA
2019_10_45,WPXD,NA,NA
2019_10_04,NNHA,56.825,52.208
2019_10_04,NNHB,57.161,54.003
2019_10_04,NNHC,58.334,55.441
2019_10_04,NNLA,54.729,50.133
2019_10_04,NNLB,58.449,51.732
2019_10_04,NNLC,55.681,51.21
2019_10_04,NEHA,54.789,51.716
2019_10_04,NEHB,54.117,49.576
2019_10_04,NEHC,55.769,52.781
2019_10_04,NELA,54.793,50.355
2019_10_04,NELB,57.279,51.627
2019_10_04,NELC,56.785,53.823
2019_10_04,CNHA,NA,NA
2019_10_04,CNHB,57.8,43.432
2019_10_04,CNHC,56.533,47.547
2019_10_04,CNLA,57.899,44.029
2019_10_04,CNLB,56.931,40.414
2019_10_04,CNLC,55.632,39.265
2019_10_04,CSHA,56.472,48.613
2019_10_04,CSHB,48.212,39.906
2019_10_04,CSHC,46.745,36.307
2019_10_04,CSLA,55.723,38.548
2019_10_04,CSLB,55.25,37.975
2019_10_04,CSLC,54.879,39.914
2019_10_04,WPXA,NA,NA
2019_10_04,WPXB,NA,NA
2019_10_04,WPXC,NA,NA
2019_10_04,WPXD,NA,NA
2019_09_13,NNHA,52.497,55.541
2019_09_13,NNHB,55.799,
2019_09_13,NNHC,59.691,
2019_09_13,NNLA,51.502,
2019_09_13,NNLB,52.906,
2019_09_13,NNLC,50.104,
2019_09_13,NEHA,53.662,
2019_09_13,NEHB,59.756,
2019_09_13,NEHC,55.1,
2019_09_13,NELA,52.54,
2019_09_13,NELB,52.347,
2019_09_13,NELC,54.395,
2019_09_13,CNHA,NA,
2019_09_13,CNHB,53.054,
2019_09_13,CNHC,70.204,
2019_09_13,CNLA,63.735,
2019_09_13,CNLB,63.782,
2019_09_13,CNLC,55.798,
2019_09_13,CSHA,68.494,
2019_09_13,CSHB,67.514,
2019_09_13,CSHC,85.575,
2019_09_13,CSLA,50.44,
2019_09_13,CSLB,61.582,
2019_09_13,CSLC,69.824,
2019_09_13,WPXA,NA,
2019_09_13,WPXB,NA,
2019_09_13,WPXC,NA,
2019_09_13,WPXD,NA,
2019_08_30,NNHA,40.334,38.103
2019_08_31,NNHB,39.541,36.103
2019_08_32,NNHC,40.494,36.563
2019_08_33,NNLA,41.033,36.11
2019_08_34,NNLB,41.375,36.718
2019_08_35,NNLC,38.707,34.082
2019_08_36,NEHA,41.663,37.674
2019_08_37,NEHB,38.235,35.142
2019_08_38,NEHC,41.663,38.63
2019_08_39,NELA,39.277,35.322
2019_08_40,NELB,40.154,35.649
2019_08_41,NELC,40.373,37.617
2019_08_42,CNHA,41.467,30.987
2019_08_43,CNHB,41.225,30.904
2019_08_44,CNHC,41.566,33.648
2019_08_45,CNLA,40.804,29.416
2019_08_46,CNLB,39.676,30.657
2019_08_47,CNLC,39.585,38.615
2019_08_48,CSHA,42.614,32.19
2019_08_49,CSHB,41.513,31.131
2019_08_50,CSHC,39.46,30.288
2019_08_51,CSLA,38.942,19.108
2019_08_52,CSLB,39.671,23.234
2019_08_53,CSLC,42.462,23.297
2019_08_54,WPXA,NA,
2019_08_55,WPXB,NA,
2019_08_56,WPXC,NA,
2019_08_57,WPXD,NA,
